Arabic	English
أحب معاملتك لي.	i like the way you treat me.
أحب ممارسه الألعاب الرياضيه.	i like sports.
أحب موسيقي الجاز.	i like jazz.
أحبها.	i love her.
أحبه أكثر من بقيه الأولاد.	i love him more than any of the other boys.
أحبها و تحبني.	i love her and she loves me.
أحب هذا الإعلان التلفزيوني.	i love that commercial.
أحب هذا الكتاب أكثر من غيره.	i love this book above all.
أحب هذا المتجر.	i love this store.
أحب هذه الأغنيه.	i love this song.
أحب هذه الصوره.	i love this picture.
أحبه كثيرا.	i like him very much.
أحتاج الحصول علي طابع بريدي.	i need to get a stamp.
أحتاج إلي التركيز.	i need to concentrate.
أحتاج إلي أن اتصل بتوم.	i have to call tom.
أحتاج إلي أن أدرس.	i need to study.
أحتاج إلي قاموس ياباني-إنجليزي.	i need a japanese-english dictionary.
أحتاج إليك.	i need you.
أحتاج إلي مترجم.	i need a translator.
أحتاج إلي مخطط كهربيه القلب لهذا المريض.	i need an electrocardiogram for this patient.
أحتاج إلي مساعدته.	i need his help.
أحتاج أن أتحدث مع الطبيب في الحين.	i need to talk to the doctor immediately.
احتاج ان اتحدث معك الآن.	i need to speak with you right away.
أحتاج بعض الراحه.	i need some rest.
احتاج سامي لتوصيله.	sami needed a ride.
احتاج سامي لممارسه العربيه مع ناطقين أصليين.	sami needed to practise arabic with native speakers.
احتاج سامي لمن يوصله بالسياره.	sami needed a ride.
أحتاج قضاء المزيد من الوقت معه فحسب.	i just need more time with him.
أحتاجك.	i need you.
أحتاجك في مكتبي في الحين.	i need you at my office right away.
أحتاج لدواء. أين هي الصيدليه؟	i need medicine. where is the pharmacy?
أحتاج لشراء بعض الطوابع.	i need to get some stamps.
أحتاج لقلم.	i need a pencil.
أحتاج للمساعده.	i need help.
أحتاج للمفاتيح.	i need the keys.
أحتاج لمزيد من الوقت لأنجز فروضي.	i need more time to finish my homework.
أحتاج لمزيد من الوقت لأنهي واجبي المدرسي.	i need more time to finish my homework.
أحتاج لمفتاحي.	i need my key.
أحتاج لهذا من أجل اختبار حمل.	i need this for a pregnancy test.
أحتاج مساعده طبيه.	i need medical help.
أحتاج مساعدتك.	i need your help.
أحتاج نصيحتك.	i need your advice.
أحتاج هذا العلاج.	i need that medicine.
أحتاج هذه الرسائل.	i need those letters.
احترق الفندق.	the hotel was burned down.
احترقت مدرستنا.	our school burned down.
أحترم مدرسي.	i respect my teachers.
احترم نفسك و سيحترمك الآخرون.	respect yourself and you will be respected.
احتضنتها.	i hugged her.
احتفظ بالسر.	keep the secret.
احتفظ سامي برساله ليلي الصوتيه.	sami saved layla's voice mail.
احتقرته.	she despised him.
احتقر سامي ليلي.	sami despised layla.
احتلت إسرائيل الضفه الغربيه و قطاع غزه عام 1967.	israel occupied the west bank and the gaza strip in 1967.
احجز الآن.	book now.
احجز تلك الكلاب.	shut those dogs up.
احجزن الآن.	book now.
احجزوا تلك الكلاب.	shut those dogs up.
احجزوا ذلك الكلب الملعون.	shut that damn dog up.
أحد أعمامي طبيب.	an uncle of mine is a doctor.
أحد الولدين يعرف ذلك.	one of these two boys knows that.
أحدث سامي ثقبا في السقف.	sami cut a hole in the ceiling.
أحدث مشروع تتويبا ثوره ثقافيه و اجتماعيه في بلده الأم فرنسا.	in its home country, france, tatoeba became a social and cultural phenomenon.
احدهم سرق لوح السهام المريشه خاصتي.	someone stole my dartboard.
أحدهم سرق محفظتي.	someone stole my wallet.
أحدهم علي الباب.	someone is at the front door.
أحدهم يبحث عنك.	somebody is looking for you.
أحدهم يتصل بك.	someone is calling you.
أحدهم ينتظرك في الأعلي.	someone is waiting for you upstairs.
إحدي حقائبي مفقوده.	one of my bags is missing.
إحذف التعليق من فضلك.	delete the comment, please.
أحرز توم هدفا.	tom scored a goal.
احرص علي أن تتصل بي صباح الغد.	be sure to call me up tomorrow morning.
أحرق الجسوس الوثائق.	the spy burned the papers.
أحس بأن أذني مسدوده.	my ears feel like they're stuffed up.
أحس بأن أذني مسدوده.	my ears feel stuffy.
أحسب أني محق.	i reckon that i'm right.
أحس توم بشيء يزحف علي ذراعه.	tom felt something crawling on his arm.
أحس سامي برغبه للانتقام.	sami felt resentlful.
أحسنت!	hurray!
أحسنت فعلا يا جمال.	very well done, jamal.
أحسن مصففي الشعر مثليو الجنس	the best hairdressers are gay.
أحضر الخمر.	bring wine.
أحضر المساعده.	bring help.
أحضر المفتاح.	bring the key.
أحضر النبيذ.	bring wine.
أحضر إلي المدرس بالحافله.	i come to school by bus.
أحضرت لي كأسا من الشاي.	she brought a cup of tea to me.
أحضر توم للطابق العلوي.	take tom upstairs.
أحضر سامي المال لليلي.	sami brought layla the money.
أحضر سامي إلي المحطه من أجل استجوابه.	sami was brought to the station for questioning.
أحضر سامي صديقه معه.	sami brought a girlfriend with him.
أحضر سامي فتاه صغيره معه.	sami brought a little girl with him.
أحضر سامي كلبه.	sami brought his dog.
أحضر سامي للاستجواب.	sami was brought in for questioning.
أحضر سامي ليلي إلي العياده.	sami brought layla to the clinic.
أحضر فاضل ليلي إلي البيت.	fadil brought layla home.
أحضرلي الأشياء التي طلبتها منك.	bring me those things i've asked for.
أحضر لي المدرس ماءا.	my teacher brought me water.
أحضر لي المقص من فضلك.	get me the scissors, please.
أحضر لي كرسيا من فضلك.	get me a chair, please.
أحضرها إلي.	bring her to me.
احضره الي هنا.	bring it here.
احفظ القصيده للأسبوع القادم.	memorize the poem by next week.
أحقا تريد أن تعمل في بوسطن؟	do you really want to work in boston?
أحقا تستطيع فعلها؟	can you really do it?
أحقا تظن أن توم سيفعل ذلك؟	do you really think tom will do that?
أحقا سيذهب توم إلي بوسطن لوحده؟	is tom really going to boston by himself?
أحقا لا يمكنك السباحه؟	can you really not swim?
احك لي عنه .	tell me about him.
أحلم كثيرا.	i have a lot of dreams.
إحمر وجهك.	your face is red.
إحمر وجهها.	her face turned red.
احمر وجهه كالتلميذ الصغير.	he reddened like a schoolboy.
أحمق	idiot!
أحمق	wanker.
إحمل الطاوله إلي الخارج من فضلك.	carry the table out, please.
احمل هذا.	carry this.
أحيانا أتساءل إذا ما كان العالم بأسره موجود فقط في خيال أحد ما، و أنه هو من يتخيل وجودنا. من يعلم، ربما كان ذلك الشخص أنا.	sometimes i wonder if this world is just in someone's head, and he dreams us all into existence. perhaps it's even me.
أحيانا أكثر من القراءه لحد نسيان أمر الطعام والنوم.	sometimes i read so much that i forget about food and sleep.
أحيانا تعد أختي العشاء.	my sister sometimes makes our dinner.
أحيانا، لا أستطيع الثقه به.	at times, i can't trust him.
أحيانا، يصعب التفريق بين الحقيقه و الخيال.	sometimes reality and fantasy are hard to distinguish.
أحيانا يكون الصبر لا يطاق.	bearing can be unbearable.
أخاف سامي ليلي.	sami intimidated layla.
أخاف سامي ليلي.	sami scared layla.
أخاف من الزلازل.	i'm afraid of earthquakes.
أخبر الجميع	tell everybody.
أخبر الطبيب ليلي أنها لم تكن قادره علي الإنجاب.	the doctor told layla that she couldn't have children.
أخبرتك بالحقيقه عندما بحت بحبي لك.	i told you the truth when i told you i loved you.
أخبرت ليلي الشرطه.	layla notified police.
أخبرت ليلي سامي عن ذلك الحمل.	layla told sami about the pregnancy.
أخبرتني بأنها تعرف أخي.	she told me she knew my brother.
أخبرتني ذات يوم أنها أرادت قطه أليفه.	one day, she told me that she wanted a pet cat.
